,Tweet,User,createdTime,label
0,b'\xe2\x81\xa6@HMWSSBOnline\xe2\x81\xa9 \xe2\x81\xa6@KTRTRS\xe2\x81\xa9 \xe2\x81\xa6@GHMCOnline\xe2\x81\xa9  place Sri Krishnagar Yousufguda A block near unique public school .drainage cleared n kept on road .no one cares https://t.co/Q36hdIkKGn',b'kinganoop',2020-10-05 11:14:46,transport
1,"b'@skt_Bharatwasi @TylerDurden_ @KTRTRS Public are dying .. and you\xe2\x80\x99re enjoying dancing. Am telling you my dear minister, you leave your Mercedes convoy and do bike rides .. if you found any smooth n safe road except Raj bhayam and your residence road .. pls post.. will clap. https://t.co/wDuLYiSEgd'",b'realfloww',2020-10-05 11:02:35,transport
2,b'Sir @KTRTRS @asadowaisi @CommissionrGHMC @TigerRajaSingh last three month #omangung road is closed which is the shortest route for osmania  hospital  for Nala construction facing lot difficulty for patents in ambulance plz look into the matter @Asifyarrkhan @CoreenaSuares2',b'SMAbdulSamad4',2020-10-05 11:02:14,transport
3,b'Focusing on the #road_side people With an object of #missionhelping feed the helpless @THHyderabad @WHO @Shaiktahseen16 @PrashanthMichel @KTRTRS @AnilAmazingSta1 @YogeshC75504522  @RangeenSena @ShruthiguddiSC @Ruqhaiyeahhh @trspartyonline @SERVENEEDYNGO @helpinghands @HQ_DG_NCC https://t.co/ELbhNuy3DC',b'PrashanthMichel',2020-10-05 10:41:44,transport
4,b'Focusing on the #road_side people With an object of #missionhelping feed the helpless @THHyderabad @WHO @Shaiktahseen16 @PrashanthMichel @KTRTRS @AnilAmazingSta1 @YogeshC75504522  @RangeenSena @ShruthiguddiSC @Ruqhaiyeahhh @trspartyonline @SERVENEEDYNGO @helpinghands @HQ_DG_NCC https://t.co/Gz3vNE4LGT',b'RangeenSena',2020-10-05 10:38:45,transport
5,"b'Day 94 #BalajiHills main Road, #Uppal in shambles since many years. So much inconvenience to public for how long? @KTRTRS @MinisterKTR @MC_Boduppal  @chmallareddyMLA @bonthurammohan @CommissionrGHMC @DC_Uppal @GHMCOnline @Dc_Ghmc @TelanganaCMO @HiHyderabad @HydWatch https://t.co/0IWrtdW3Li'",b'adwantr',2020-10-05 10:24:14,transport
6,b'Sir/Madam\xf0\x9f\x99\x8f please construct the road near VMBANJAR to KHAMMAM Highway Road. The  Road is fully damaged.......... @SathupallyA @KTRTRS https://t.co/ro3raBEwcQ',b'SathupallyA',2020-10-05 10:06:48,transport
7,"b'@GHMCOnline @withAIMIM @hyd @amjedmbt @CommissionrGHMC @555678Khalid  Development in old city , part of road taken out and left for then 2 months  , why ; yakutpura Princess Durru Shehvar jr college ..300 mrs from there ; do needful . https://t.co/W5rWrbHSp1'",b'Drmohammba123',2020-10-05 09:53:47,transport
8,"b'Drainage water over flowing since many days. Hasmathpet road, near Fatima masjid, near New kalanjali apartment. Bowenpally @VP_SCB @GHMCOnline https://t.co/DPnlSkmoxS'",b'SocialsPanda',2020-10-05 09:51:28,transport
9,"b""@SonuSood he is my friend bhai nd he was met an road accident he's family suffering so lot of financial problems nd he went to comaa \xf0\x9f\x98\x91 try to help them bhai .. hope u to see this show some love bhai \xe2\x9d\xa4\xef\xb8\x8f #SonuSoodRealHero #SonuSood @SonuSood @KTRTRS @KTRoffice https://t.co/tirrXAvaop""",b'VamshiK62818506',2020-10-05 09:43:08,transport
10,"b'@DC_Alwal: @GhmcSbm @CommissionrGHMC: @GHMCOnline Sir,  Garbage dumping is fine by few citizens  near Bhudevi Nagar Railway station Entrance. ( Venkatapuram, ALWAL. Pig s \xe0\xb0\xaa\xe0\xb0\x82\xe0\xb0\xa6\xe0\xb1\x81\xe0\xb0\xb2\xe0\xb1\x81 also entering railway station track and get hit by Train. Open defecation also problem in this area.'",b'PharmAnaly',2020-10-05 09:42:40,transport
11,"b'@KTRTRS  sir, master plan road effected means even though there is no proposal of such roads in real and only existed in m.plan.'",b'KNAGARA13812620',2020-10-05 09:29:55,transport
12,"b'Dear @KTRTRS @GHMCOnline  The  construction of Osmangunj nala  which was supposed to completed in a month has now surpassed 3 months  The road which connects old city and new city blocked for 3 months now  Leading to severe  traffic jams, loss of business etc   @bandisanjay_bjp https://t.co/fX8EC3y7Zw'",b'iRupND',2020-10-05 09:26:22,transport
13,"b'@KTRTRS sir, good afternoon. Give guidelines to hmda that how to regularise the previous rejected LRS files due to various reasons such as mainly master plan road effected and requested to make available every city/ village masterplan so that people can follow.'",b'KNAGARA13812620',2020-10-05 09:25:55,transport
14,"b'@KTRTRS Dear KTR water bottles are selling at extreme high prices in bus stations. Jagityal 25rs, Karimnagar Swetha Tiffins 30rs. Same bottle for15rs @ railway station. How long we should pay this type of extra rates @ Bus stations?  Thank you'",b'ram8chekuri',2020-10-05 09:22:05,transport
15,"b""Need ur att'n @CEC_EVDM  JNTU Main road Date: 04-10-2020 @Director_EVDM @arvindkumar_ias @KTRTRS @KonathamDileep @cyberabadpolice https://t.co/Z0uzVUwyI4""",b'vinay_vangala',2020-10-05 08:47:23,transport
16,b'@GHMCOnline sir please provide ghmc to clean the road daily Sir facing problem address SRT -51 and SRT-52 Ashok Nagar x roads near Raghavendra Xerox shop small road please find the problem \xf0\x9f\x99\x8f https://t.co/EJt9F2xPHE',b'Ashwint84637479',2020-10-05 08:46:16,transport
17,"b'Speaking in the review meeting, Minister @KTRTRS has instructed MAUD Dept to coordinate with Police Dept to ensure all commercial complexes, gated communities, malls, IT Parks, parks, shelter homes, govt hospitals, bus terminals, and markets, install CC Cameras mandatorily.'",b'MinisterKTR',2020-10-05 08:38:29,transport
18,b'@KTRTRS Trekking on busy mazjidbanda road ...hmm healthy way to walk through',b'Venu35542813',2020-10-05 08:32:30,transport
19,"b""@KTRTRS Guess it's a one way example@PJR stadium road https://t.co/sBqgimQwhj""",b'Venu35542813',2020-10-05 08:30:34,transport
20,b'@srikhande_umesh Something for @GHMCOnline to take care of the road as well  @ZC_Charminar   @CommissionrGHMC',b'shanthchandra',2020-10-05 07:54:30,transport
21,"b""A good road already in condition is damaged to build a new one,what about those 'x' roads which do not have roads but potholes @CommissionrGHMC @GHMCOnline @Director_EVDM @KTRTRS @KTRoffice please don't waste valuable tax money collected #ghmc #durgamcheruvubridge #hyderabad https://t.co/vaQeWfILT1""",b'nikhushboo1504',2020-10-05 07:53:22,transport
22,b'And more traffic congestion! Where is the road left to drive? @GHMCOnline is worst organization in the world by far. @TelanganaCMO https://t.co/LjQi9O9NSp',b'crazyhinduu',2020-10-05 07:50:24,transport
23,"b'@serish @ActivistTeja 100% True. This happens every time. I am sure @KTRTRS garu is working to get the road, water and electricity department s to sit together and plan their projects atleast year ahead!! This wastage of public money has to stop.'",b'BhagirathNagar3',2020-10-05 07:36:23,transport
24,b'@amjedmbt @HYDTP @hydcitypolice @KTRTRS @KTRoffice &amp; even they have made Medical College to Mouzamjahi market road two way which is resulting in lots of inconvenience.',b'kiraakbaccha',2020-10-05 07:33:54,transport
25,b'Why are these public toilets not functioning? Why are they locked? @GHMCOnline @ZC_SLP  Location: Prabhupada township road https://t.co/t8eEVfRPEe',b'PrabhuTrooper',2020-10-05 07:29:35,transport
26,b'Secondary Collection and Transport Points (SCTPs) is a novel initiative by @GHMCOnline to keep our city clean and green with an efficient process in collecting and managing the waste. Commend the officials involved for coming up with such a smart concept. @trspartyonline https://t.co/iE5e7PcbkU',b'DrRanjithReddy',2020-10-05 07:27:10,transport
27,"b""@KTRTRS dear sir This pics mentioned are Roads inInjapur.This is highway road connecting to Hayathnagar ,heavy vehicle's passes through it. Please take immediate action as situation goes wrong @TelanganaCMO @HMDA_Gov @MinisterKTR @ManchireddyKis1 https://t.co/SRDg2iRTyo""",b'AnjaneyuluMarr1',2020-10-05 07:15:10,transport
28,"b'Heavy traffic jam on daily basis from Chaderghat Bridge to Mouzamjahi Market via Imliban Bus Stop with no traffic cop seen, On side side you have close OGH to Mouzamjahi Market, please ask @HYDTP to post some traffic cops to free traffic. @hydcitypolice @KTRTRS @KTRoffice'",b'amjedmbt',2020-10-05 06:55:50,transport
29,b'@CommissionrGHMC  @GHMCOnline I demand commissioner ghmc should take a note of ghmc sweeper were supervisor Nd other officers are not providing kamaten to lift Nd carry garbage of road side in masabtank area.from sarojni Devi hospital to afia plaza .it only female kamati in job',b'GenAimim',2020-10-05 06:32:49,transport
30,b'This link road is imp matter to be considered by @GHMCOnline immediately; keeping interest in health of travellers &amp; avoid accidents because of poor road conditions.  CC : @bonthurammohan @CommissionrGHMC @zckukatpally   Reported by @MeghnaNath for @TheHansIndiaWeb   @NewBolarum https://t.co/e24WyZdi80',b'RohithRao7',2020-10-05 06:17:13,transport
31,"b'@KTRTRS @bonthurammohan @SATISHCORP_FNG @KTRoffice  Sub:- MAJOR Issue with Wines Shop and Toddy Shop in Residential Area. SP Nagar moosapet DIVISION Fathenagar 117. SIR, we have only one entrance for colony from main road the ladies and kids were unable to go through that lane. https://t.co/Quu6WuEV5w'",b'Prabhu40827872',2020-10-05 05:40:30,transport
32,"b'Please make #DurgamCheruvuCableBridge and surrounding connecting areas as #CONTAINMENTZONE - @hydcitypolice @HYDTP @KTRTRS - There is no meaning if you keep the road closed, as people have found ways to see it in huge numbers without precautions.'",b'SatyananthP',2020-10-05 05:14:25,transport
33,"b'I am happen to visit kundla pochamma reservoir last week ..this place going to be good picnic spot in near future ..please improve facilities like toilet , parking facilities,children play area and food outlets ..there is no proper road @TelanganaCMO @KTRTRS @VSrinivasGoud'",b'msreddy001',2020-10-05 05:02:01,transport
34,b'@GHMCOnline @ZC_LBNagar @SEElectricGHMC at lb nagar siris road line steert light not working we r facing more problem please solve it its 2nd time I am complaint no one is responding my no 9063830662 it is in l.b nagar area https://t.co/C3vgVhylm7',b'Sanjeev67067900',2020-10-05 04:36:55,transport
35,"b'@ktrtrs  @tv5newsnow @TV9Telugu @abntelugutv @SakshiHDTV @bbcnewstelugu  @KTRoffice @timesofindia @Collector_SRD @TsspdclCorporat Electrical pole at road no 6 A, bhavanipuram, near NSL Colony, Ameenpur is leaning and is at a danger of breaking. Please Help #SaveBhavanipuramRoad https://t.co/VLLJze0HU2'",b'Ramesh_b_badri',2020-10-05 04:36:04,transport
36,b'@KTRTRS @aajtak @ttindia @TheQuint @IndianExpress The corona cases are rising but now fear is gone one can see the bus full of passengers with condactors issuing Tickets .The bus is giing from karimnagar to Hyderabad in Telangana.',b'Azam50494798',2020-10-05 04:28:21,transport
37,"b""@KTRTRS Please look into the road extension work from beeramguda kaman to kistareddypet. Till now, it's not started yet. People are suffering alot with current road.""",b'nareshv2',2020-10-05 03:11:22,transport
38,"b""@KTRTRS @SingireddyTRS Please look into the road extension from beeramguda kaman to kistareddypet. Till now, it's not started yet. People are suffering alot with the road. You are saying birthday wishes only to other politicians but not look into the development activities. Very shameful.""",b'nareshv2',2020-10-05 03:08:21,transport
39,b'Day 19 @KTRTRS Day 19 since the issue happened at Mahalakshmi arcae. Please respond sir. No response from any government officials whose negligence made us stand on road.   #savemahalakshmiarcade',b'parameshwarlava',2020-10-05 02:15:29,transport
40,b'@KodatiJithen @HiHyderabad @KTRTRS @trsharish @KonathamDileep @MPsantoshtrs @RaoKavitha @balkasumantrs @swachhhyd @bonthurammohan @DrShantaThoutam Can u see that not a single person is with mask? Throwing waste on road and donno how much went into water.. traffic jams.. still u boost about it?',b'loks023',2020-10-05 01:52:09,transport
41,"b'Sir, potholes cover with concrete. Opp. DERL  C.Gutta, so far many accidents taking place, today also one family fell down from bike on this concrete now this is the accident prone area. Ple remove concrete from the road &amp; do some permanent solution. @GHMCOnline @shocgt @KTRTRS https://t.co/lBiVhmQ1mT'",b'555678Khalid',2020-10-05 01:50:12,transport
42,b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC Wow.. A police officer sharing the video where a lady taking photographs in the middle of road during running traffic and saying these are Happy times!! Really? Is that Safe? And you encourage people to do that? @KTRTRS',b'IamAmbareesh',2020-10-05 01:47:32,transport
43,"b'@KTRTRS @GoldmanSachs It is the example of true and proactive leadership. Thanks KTR garu, for listening to our request and quickly making things happen. Teams started repairing this road\xf0\x9f\x99\x8f\xf0\x9f\x92\x90\xf0\x9f\x92\x90 https://t.co/cUhy2Gba25'",b'Ideacult2',2020-10-05 01:24:26,transport
44,b'Secondary Collection and Transport Points: GHMC finds smarter way using SCTP which are designed to manage garbage effectively. GHMC has come up with a smart concept which replaces waste bins and garbage vulnerable points on roads with SCTP @KTRTRS @GHMCOnline @JAGANTRS https://t.co/fp8kT9cwpc',b'sravaneleti',2020-10-05 01:23:53,transport
45,"b'@sonamley @DefenceMinIndia @drajaykumar_ias @RakshaSampada @SpokespersonMoD When will our roads be reopened,   How long will you all ignore the fact and miseries of civilians,21 out of 25 road illegaly shut Set up a fact finding committee. Help millions affected. Secbad needs Independence. We too are indians \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 @KTRTRS @TelanganaCMO @RaoMlc @NewBolarum https://t.co/5PFY06UGyl'",b'Chandras1976',2020-10-05 00:56:09,transport
46,"b""@KTRTRS Dear sir iam from Gouthami nagar hydernagar GHMC and we don't have road to walk around 350 flats people.. please do the needful help.""",b'HaribabuVaddem1',2020-10-04 23:48:46,transport
47,b'@KTRTRS Superb machine for painting of road lines and road markings... https://t.co/2EBD2dZfpb',b'svenkyn',2020-10-04 20:03:21,transport
48,"b'@TelanganaCMO @MORTHRoadSafety @KTRTRS @asadowaisi @mohdmoazamkhan  Sir, Every day we are wasting our time our patrol our energy to just take a U turn at  bahadurpura x road,  Please do work fast or find another option and save your nations time, energy and petrol. https://t.co/g9TUujyB77'",b'muddassir_ahmed',2020-10-04 19:42:50,transport
49,b'Our next week of #learning.. #threadingthoughts #ebike #technologyforgood #podcast #learning #leisure #Transport @jayesh_ranjan @KTRTRS @TOIHyderabad @THHyderabad @IndianExpress @TelanganaToday  https://t.co/BSntERG5Gv',b'mriduanand1',2020-10-04 18:55:26,transport
50,b'@SrinivasBellam @Rupa52329747 @MoosapetDC @zckukatpally @eec23ghmc @Dc21Ghmc @EE_Chandanagar @ZC_SLP @CYBTRAFFIC @ZC_SLP sir this place without illumination on top of this road was damaged very badly with big potholes which may lead to some fatal accidents sir. Can you please kindly consider this appropriately CC @arvindkumar_ias @KTRTRS @cpcybd @SEElectricGHMC @HiHyderabad @Nabinder_TOI',b'ActivistTeja',2020-10-04 17:54:18,transport
51,"b'@bandlagudajagir  @KTRTRS @TelanganaCMO  Sir, condition of road at radhanagar-2 of Suncity is at a very bad state.  PLEASE DO THE NEEDFUL soon. Else a  day might not be far that someone may fall and even succumb to the injuries.. https://t.co/pmZqxfeC1p'",b'mohanaper',2020-10-04 17:53:10,transport
52,b'Dear @KTRTRS  Requesting your attention to Warangal - Karimnagar road especially between Elkaturti - manakondur section It\xe2\x80\x99s non motorable Connect between 2nd and 3rd largest cities can be bettered  Thank you',b'sdahagam',2020-10-04 17:36:31,transport
53,b'@KTRTRS @VPRTRSTwo accidents have occurred in the span of four days killing one person Another was in a coma Potholed road Temporarily buried with mud it was a highway road that caused many accidents and casualties prompting authorities to respond We want a permanent solution https://t.co/yZMUyFTp0v',b'PavanSa47458420',2020-10-04 16:43:29,transport
54,b'@KTRTRS @VPRTRS Two accidents have occurred in the span of four days killing one person Another was in a coma Potholed road Temporarily buried with mud it was a highway road that caused many accidents and casualties prompting authorities to respond We want a permanent solution. https://t.co/UykP19xccn',b'srichokkalla',2020-10-04 16:41:37,transport
55,b'@KTRTRS Sir i have corner plot at 100 feet road facing....wedth 12.5 and leghth 100..west coner ihave 20 feet road only...if they cut 30 feet road that i would loss my whole plot..plz exclude LRS for Gramapachathis\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',b'Bhasker33005974',2020-10-04 15:23:05,transport
56,b'@TeenmarMallanna @BJP4Telangana @INCTelangana Do you need to resort to such spite &amp; sarcasm? @trspartyonline @KTRTRS  @TheRealHimanshu  Let any criticism be confined to policies or their actions as public servants. Be incisive there. \xf0\x9f\x91\x8d  Let us sail through #Covid together. Road is rougher ahead. #Respect #Compassion #Help',b'MAYiALSO',2020-10-04 14:31:43,transport
57,b'@KTRTRS TRS Working President KTR Speech at Huzurnagar By Poll Road Show https://t.co/jvK7Asu6x7',b'abdulma32033529',2020-10-04 14:31:34,transport
58,b'@KTRTRS @MinisterKTR @GHMCOnline @bonthurammohan Construct an express way between Nalgonda x Road -- PV Expressway pillar no 113 (via moosi river). Helpful to IT people.',b'udhayvangal',2020-10-04 13:30:37,transport
59,"b""@KTRTRS  Hello Anna, Total disappointment over the traffic chaos and road closures due to the Cable bridge. To travel 100mts, have to go over 3 kms in full traffic. Request Anna,I know you won't, but please travel as a normal person to understand. Is the bridge closures needed?""",b'StaySafe_All',2020-10-04 13:18:39,transport
60,b'@hydcitypolice @CPHydCity @KTRTRS I request you to please keep Pedestrian Crossing signs on road and keep traffic lights. it will help people to cross roads to avoid any accidents and loss of lifes. Thank you',b'Mohamma34262896',2020-10-04 13:17:52,transport
61,"b'@HMWSSBOnline @GHMCOnline @CommissionrGHMC  drainage overflow at my apartment complaint raised 2 days, no one attended but ticket closed. Whats wrong with you?   Your grievance/request on dt:02-10-20 regarding SEWERAGE OVERFLOWS-ON THE ROAD With TokenNo:5630 Was Solved.'",b'Sriniva04422184',2020-10-04 12:54:49,transport
62,"b'@arvindkumar_ias @KTRoffice @CommissionrGHMC @GHMCOnline  Another Bus bay @ UOH , completion by GHMC https://t.co/nmY7uABnGf'",b'ZC_SLP',2020-10-04 12:43:28,transport
63,"b'Over crowded bus at Banjara hills, Hyderabad...Is it really safe to travel in public transport?  Mr. Ktr sir plz look into this. @KTRTRS  @KTRoffice https://t.co/xLHtrCApRe'",b'EatOrDRINKK',2020-10-04 12:25:41,transport
64,b'@GHMCOnline @CommissionrGHMC  Sir ! Please help us clear our surroundings at Road no. 7 Banjara Hills https://t.co/gpKYwZUluP',b'amritdugar',2020-10-04 12:05:45,transport
65,"b'@imbganesh @PMOIndia @KTRTRS @SabithaindraTRS @TelanganaCMO I am a student of jntuh. I live in hostel in Hyderabad. My native is Jharkhand. In this pandemic only one train is there and that too in this sudden announcement of exams, no tickets are available. How will any other state student will go to attend exams? Please take our concens'",b'AichChandni',2020-10-04 12:04:33,transport
66,"b""@HYDTP @KTRTRS @GHMCOnline @CYBTRAFFIC @cyberabadpolice  dear team pls don't remove the security road blockers from the roads. People these days are driving crazy and most irresponsibly on the roads.Only way to stop that is through road blockers stands. Increase the count as well""",b'Daniel_Joshua11',2020-10-04 11:58:01,transport
