,Tweet,User,createdTime,label
0,"@HMWSSBOnline @KTRTRS @GHMCOnline @CommissionrGHMC  Kindly delay the drinking water supply by one hour in bhrundavan nagar, Bhoodevi nagar, Secunderabad. It is 6 am, the temperature is 17 degrees. https://t.co/XAzIphniOu",b'DeepakPawar55',2020-12-02 00:43:22,water
1,GHMC should look at disconnecting water and electricity for 3 months to all those who didn't cast their votes today..  @GHMCOnline @CommissionrGHMC @KTRTRS,b'Shrikanth567',2020-12-01 19:26:20,water
2,Water leakage at Dilsukhnagar from past few days . Situation near Dilsukhnagar Metro Station and Sai baba temple . Please look at this inconvenience at the earliest possible @GHMCOnline @CommissionrGHMC @HMWSSBOnline @Director_EVDM https://t.co/B4yLmVjxOa,b'narendra_kumar9',2020-12-01 14:03:01,water
3,@CommissionrGHMC @GHMCOnline @HMWSSBOnline @Hmwssbdgmchkgud @hmwssbmgrmsrd1 drainage water flowing at Prayer Power Church parsigutta musheerabad Hyderabad 1-6-227/10/1 please do needful sir 🙏 https://t.co/Qchbqiu1gv,b'vinodkaparthi19',2020-12-01 09:39:32,water
4,"GHMC and Govt of Telangana has to implement strict rules for not voting. No vote No municipal water, No Vote No Electricity Campaign. @GHMCOnline @trspartyonline @BJP4Telangana @hydcitypolice",b'rakeshreddy_ch',2020-12-01 08:41:44,water
5,@GHMCOnline @HMWSSBOnline @shosulthanbazar 4.7 600 near daliya niwas sir they are constructing a buidling and keeping all items on roads and not giving way to the vehicles and destroying the vehicles wasting the water and speaking vulgerly with all people. https://t.co/tTdrzB6RTU,b'Lakhan94421832',2020-12-01 07:04:29,water
6,"@GHMCOnline @CommissionrGHMC @Director_EVDM @ZC_Khairatabad @MinisterKTR every day lots of drinking water is wasting opposite to Bharath pertol bunk lakdikapul collectors office and global hospital line,kindly address the issue immediately https://t.co/nO2YEuNWiS",b'ramchanderrao',2020-11-30 04:48:41,water
7,"@GHMCOnline @CommissionrGHMC Respected Ghmc officials, We are facing severe water flow from the  drainage. There is no response from your team for past two days. Area fathenagar 10_4_126 hyd _18",b'RAMAKRI52680211',2020-11-30 04:40:48,water
8,"@CommissionrGHMC @GHMCOnline @KTRTRS @TV9Telugu @V6News @BJP4Telangana @bandisanjay_bjp @Eatala_Rajender Dear sir  work left out in between, drainage is opened, sewage water not passing ,all the waste materials accumulating ,getting very stinky  smell&amp; Mosquitoes. Kindly clean https://t.co/nUn2OH3W1a https://t.co/wzOrWHBkE7",b'RAJUCHANDUPATL2',2020-11-29 15:45:33,water
9,"@ChintalaShanti @KTRTRS @TSwithKCR @GHMCOnline @CommissionrGHMC @KTR_News Shanthi Garu,Thank you for taking initiative to repair the bore well.But electronic connection is not given as it requires 3-phase.Kindly  request you to take further action that will really helpful  solve water problem. @ChintalaShanti @CommissionrGHMC @KTRTRS @MynampallyTRS",b'Narende30740686',2020-11-29 15:32:30,water
10,"@RaoPadmaBJP @GHMCOnline @BJP4Telangana @byadavbjp @bandisanjay_bjp @manthriji @kishanreddybjp @aruna_dk @drlaxmanbjp @Arvindharmapuri @vivekvenkatswam @JPNadda @BJPITCellTS @BJP4Warangal @BJP4India @apjithender BJP give  Toilets, Electricity  Clean India Mission, Solar Power Scheme  Make in India Mission, Pm House Scheme, Support to Indian Start-Ups  Gas cylinder,  Increase Foreign Investment  Clean Water to all,  Corona me free me Food  To All Without any Discrimination  #IndiaWithBJP",b'Kalpesh67656614',2020-11-29 12:49:07,water
11,"@CEC_EVDM @CommissionrGHMC @GHMCOnline @VijayGopal_  Pls confirm is it accepted to charge Rs 59/- for a water bottle with MRP Rs 20/-  (Kinley 1 lt) . Pls find the bill and the water bottle 🙏🏼🤷🏼‍♂️👍🏼 also, share what action is being taken against #RayalaseemaRuchulu restaurant 🤷🏼‍♂️ https://t.co/TysdFuVjHm",b'MatteyKiran',2020-11-29 10:31:05,water
12,@CommissionrGHMC @GHMCOnline @KTRTRS The high tech method for clearing storm water https://t.co/VUsogki90O,b'chava_uday',2020-11-29 10:24:01,water
13,@KTRTRS @GHMCOnline @CommissionrGHMC  seems illegal water extraction is happening from Ameenpur lake https://t.co/idblA2WGhz,b'baba1402feb',2020-11-29 09:40:53,water
14,@HMWSSBOnline @hmwssbgmom14 @GHMCOnline @DC_Malkajgiri @RachakondaCop @MinisterKTR @Hmwssbdgmsnkpur @hmwssbmgrhbclny The complaint registered by you incorrect. I am complaining about lakhs of litres of drinking water is leaking on roads since more than one year and every time you register a complaint about no water. @DC_Malkajgiri  @CommissionrGHMC @HMWSSBOnline @SomeshKumarIAS,b'mangeshyderabad',2020-11-29 09:20:57,water
15,"@CRMPBSCPL @GHMCOnline @DC_LBNagar @ZC_LBNagar  water logs infront of our house everytime it rains or if someone washes their vehicles on road.please act on it.near plot no,35,lane beside croma,near Rangareddy district court ,north siri nagar colony,LB Nagar https://t.co/PdQQhiFwGQ",b'KranthiKonduru',2020-11-29 08:08:31,water
16,"Water has been flowing from other colonies into ours, pot hole ridden and very inconvenient from the past many years in brundavan nagar colony, Alwal. Can someone help us? @GHMCOnline @KTRoffice @KTRTRS https://t.co/ACf0ICWVbO",b'prasheelm7',2020-11-29 04:03:11,water
17,@bpranayreddy @CommissionrGHMC @GHMCOnline @KTRTRS @KTRoffice @ZC_SLP @ee_serilingmply @DC_Serilingmply Request concerned Officials to look into this and save our water bodies,b'SSPGHyd',2020-11-28 16:26:50,water
18,"GHMC had ambitiously started water ATMs in 2017 with lakhs of rupees , instead to serve people over there it became graveyard for pegions r.i.p  @GHMCOnline @CommissionrGHMC https://t.co/FtR4ESjrMf",b'ajmeera_deepak',2020-11-28 12:46:41,water
19,@GHMCOnline @KTRoffice @KTRTRS @CommissionrGHMC it stinks like hell All the water from toilets and bathroom coming out on the road.. we r facing issues even to walk on road...,b'Only4updates786',2020-11-28 08:51:20,water
20,So much for greater Hyderabad @GHMCOnline @CommissionrGHMC  a little rain causing water logging problem have even made several complaint no action taken as of yet at chikalguda main road it's a daily problem some times of drainage over flow now a little rain causing water logging https://t.co/qDyDwv17f2,b'Rohitja05875979',2020-11-28 05:17:00,water
21,"@KTRTRS @PRO_Vizag @chennaicorp @GHMCOnline @nitin_gadkari @ncbn @JP_LOKSATTA I think this could be solution for yearly Mumbai,chennai,Hyderabad floods and water conservation for visakhapatnam https://t.co/4d8bFd1oKx",b'bhanudreams',2020-11-28 02:52:50,water
