,Tweet,User,createdTime,label
0,b'Great Job Done by Mla Quthbullapur Constituency @kp_vivekanand I openly support for MLA Vivek Garu. Sir we also request high level enquiry on Quthbullapur Revenue Department VRO about his financial conditions. @KTRTRS',b'way_2_Imran',2020-10-05 11:33:08,economy
1,b'@KTRTRS  sir if village economy fails our cities will have serious problems. Dense population in cities is due to migration.Please develope small and medium scale industries in rural and semi urbans with low tax.',b'tarunachanta',2020-10-05 10:26:42,economy
2,b'Union Finance Minister Nirmala Sitharaman - GST Governing Body Meeting https://t.co/r8dskEi2g5 via @YouTube @nsitharaman @nsitharamanoffc @trsharish @TrsHarishNews @mygovindia @PIB_India @PIBHyderabad @shashidigital @TelanganaCMO @PMOIndia @FinMinIndia @MPLingaiahYadav',b'ddyadagirinews',2020-10-05 10:05:27,economy
3,"b""@Eatala_Rajender @EATALAOffice @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-05 09:58:53,economy
4,"b""@SonuSood he is my friend bhai nd he was met an road accident he's family suffering so lot of financial problems nd he went to comaa \xf0\x9f\x98\x91 try to help them bhai .. hope u to see this show some love bhai \xe2\x9d\xa4\xef\xb8\x8f #SonuSoodRealHero #SonuSood @SonuSood @KTRTRS @KTRoffice https://t.co/tirrXAvaop""",b'VamshiK62818506',2020-10-05 09:43:08,economy
5,"b""@KTRTRS @KTRoffice Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-05 07:01:09,economy
6,"b""@TelanganaCMO @KTRTRS @RaoKavitha @trspartyonline Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-05 07:00:33,economy
7,"b""@Eatala_Rajender @TelanganaHealth @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-05 07:00:18,economy
8,"b""@TelanganaGuv @DrTamilisaiGuv @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: +91 9502008874""",b'SaikatRanchi',2020-10-05 07:00:02,economy
9,"b'@HydForum @KTRTRS @KTRoffice @TelanganaCMO   Is this gimmick required during pandemic?? First of all brining new revenue act and imposing financial burden by implementing LRS is foolish decision, i understand you have to route this money to ""BUY"" votes.. but still are you not human???'",b'TrueBJPian',2020-10-05 04:24:19,economy
10,"b'@INCTelangana @sravandasoju @manickamtagore @UttamTPCC @revanth_anumula @naini_rajender @trsharish Yes, exactly. Good counter.Harish Rao Telangana finance minister. He is making false allegations saying CONGRESS &amp; BJP (\xe0\xb0\x9a\xe0\xb1\x80\xe0\xb0\x95\xe0\xb0\x9f\xe0\xb0\xbf \xe0\xb0\x92\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xaa\xe0\xb0\x82\xe0\xb0\xa6\xe0\xb0\x82). Can he prove it.?? https://t.co/EV3TuE7oaw'",b'Raju_PolepakaRP',2020-10-05 04:19:17,economy
11,"b""@KTRTRS hi sir good morning sorry to disturb you at this time my best friend Rajesh his met with an accident and joined in a hospital near kompally he doesn't have family support and financial support please we request you to provide financial support from you \xf0\x9f\x99\x8f \xf0\x9f\x99\x8f \xf0\x9f\x99\x8f https://t.co/L7CsPoOiMM""",b'Sanjay42482478',2020-10-05 01:13:56,economy
12,b'@KTRTRS Sir I have financial problems I am going to do suicide today plz help me sir',b'MaddhulaJ',2020-10-04 21:27:22,economy
13,b'Sir please help me my husband aged 65yrs is in CC SHROFF hospital hyd and is undergoing treatment for blood clot in brain due to which infection in the organs as our financial status is very bad please help us sir i request you Sheela 8247586805 Hyd @KTRTRS @KTRoffice @TV9Telugu',b'SheelaR94273591',2020-10-04 15:35:31,economy
14,"b""Dear @KTRTRS Sir, I'm Suffering From Liver Cirrhosis, Kidney Desease &amp; Gall bladder Stones. Please Give Me Financial Support Sir, I Hope You Kindly Look at My Situation I Can Provide My Medical Certificates Sir..\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f""",b'VenkatacharyNa6',2020-10-04 14:44:50,economy
15,b'@KTRTRS Sir we need some finance sir to be in good position my father temple is at uppal durga mallikarjuna swami temple vellugugutta please help my family making my father job permanent that temple is in to endowment but he is not receiving salary from government please help us sir',b'Saivani09446307',2020-10-04 14:15:55,economy
16,"b'Painful part 6 !! Teacher Venkat commits suicide by having pesticides because of financial crises in Nalgonda dist , Telangana State !! He was not getting the salary from last 7 months due to pandemic. Please support the needy ! @DrTamilisaiGuv @TelanganaCMO @Collector_NLG https://t.co/d89wWvCgdY'",b'MidnightReportr',2020-10-04 10:08:28,economy
17,b'Sir please help me my husband aged 65yrs is in CC SHROFF hospital hyd and is undergoing treatment for blood clot in brain due to which infection in the organs as our financial status is very bad please help us sir i request you please Sheela 8247586805 Hyd @KTRTRS @KTRoffice',b'SheelaR94273591',2020-10-04 10:08:25,economy
18,"b""@Eatala_Rajender @EATALAOffice @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-04 09:58:49,economy
19,b'@KTRTRS Good evening sir  I  I dnt have job  plz help me finance  problem   s thre',b'RosyShamala',2020-10-04 09:42:42,economy
20,"b'During Covid19 challenging times, people are in financial crisis. And you are asking to apply for LRS  and pay the fee for it. putting the dead lines . With this, who is going to benefit your government (or) people? @KTRTRS @TSwithKCR @TelanganaCMO'",b'amarjakkula',2020-10-04 09:38:14,economy
21,b'@KTR_News @KTRTRS Private school buses finance ela kattali sir finance vallu tight chestunnaru give me some relaxation still open the school',b'KBRAHMAM13',2020-10-04 06:59:11,economy
22,"b""@KTRTRS @KTRoffice Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-04 06:52:05,economy
23,"b""@TelanganaCMO @KTRTRS @RaoKavitha @trspartyonline Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-04 06:51:26,economy
24,"b""@Eatala_Rajender @TelanganaHealth @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-04 06:51:10,economy
25,"b""@TelanganaGuv @DrTamilisaiGuv @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: +91 9502008874""",b'SaikatRanchi',2020-10-04 06:50:54,economy
26,b'Telangana Government pins hopes on Dharani portal to shore up finances @TelanganaCMO #Dharaniportal #Economy #Revenue #TelanganaGovernment https://t.co/umlsfhdJng',b'TheHansIndiaWeb',2020-10-03 19:59:10,economy
27,b'Pungent Industrial smell reaching the Financial district during nights forcing us keep windows closed. Its an ongoing issue experienced in surrounding areas as well. Complaints to PCB and KCR helpline have gone in vain. Please Help @KTRTRS @CPCB_OFFICIAL  @TelanganaPCB',b'vxk8205',2020-10-03 18:24:50,economy
