,Tweet,User,createdTime,label
0,@vishutheone @KTRTRS @ChintalaShanti @KTR_News Sir you have made the view of Hyderabad proud in the field of IT by getting their second largest campus of Amazon and all... My humble request is that you also make Hyderabad as plastic free and pollution free. Main flood free... Because  of some real estate people and some non,b'AnumandlaVinay',2020-11-21 06:18:36,environment
1,@krishkaran2009 @AdityaDubey2003 @vinay_vangala @CPCB_OFFICIAL @TelanganaPCB @IKReddyAllola @moefcc @PrakashJavdekar @SuPriyoBabul @DrGargava @DonitaJose @KTRTRS @TelanganaCMO @UNEP @anusha_puppala @SrinivasBellam @mmmaansi @HiHyderabad @ActivistTeja @UttaraVarmaTOI @shanthchandra @dunlop9 @UNFCCC @ErikSolheim @CitizensForHyd @yamunajiye @BhavreenMK Should rename CPCB to Pollution Clearance Board.,b'urban_lens',2020-11-21 05:50:03,environment
2,"@KTRTRS We will vote for you KTR garu , however post winning GHMC election u have to currect the falsehoods u are talking about in this vedio ,Traffic is horrible , pollution is all time high &amp; congestion on roads (with potholes) is up,Hyd sec never had potholes atleast ,now it's normal!",b'Harsh42785140',2020-11-21 05:46:55,environment
3,@urban_lens @AdityaDubey2003 @vinay_vangala @CPCB_OFFICIAL @TelanganaPCB @IKReddyAllola @moefcc @PrakashJavdekar @SuPriyoBabul @DrGargava @DonitaJose @KTRTRS @TelanganaCMO @UNEP @anusha_puppala @SrinivasBellam @mmmaansi @HiHyderabad @ActivistTeja @UttaraVarmaTOI @shanthchandra @dunlop9 @UNFCCC @ErikSolheim @CitizensForHyd @yamunajiye @BhavreenMK Yes they are all pollution clearance boards.,b'krishkaran2009',2020-11-21 05:46:07,environment
4,@CitizensForHyd @PMOIndia @KTRTRS @IKReddyAllola @moefcc @TelanganaPCB @CPCB_OFFICIAL @narendramodi please dare to speak with any climate Activist and discuss pollution issue in Next Maan Ki Baat... Let's do something as a PM apart from Hindu Muslim and Ram Mandir. Youths wants same...,b'Thakrarkhelan',2020-11-21 05:11:56,environment
5,@ysathishreddy @KTRTRS @trspartyonline @HiHyderabad @D_SudheerReddy @kp_vivekanand @Koppulaeshwar1 @KonathamDileep @DrRanjithReddy @KTR_News @BTR_KTR @Babafasiuddin Great news indeed for Hyderabad. Low pollution levels and the presence of good schools for children make Hyderabad a great place for families.,b'rajeshmadireddy',2020-11-21 05:05:47,environment
6,"@vinay_vangala @CPCB_OFFICIAL @TelanganaPCB @IKReddyAllola @moefcc @PrakashJavdekar @SuPriyoBabul @DrGargava @DonitaJose @KTRTRS @TelanganaCMO @UNEP @anusha_puppala @SrinivasBellam @mmmaansi @HiHyderabad @ActivistTeja @UttaraVarmaTOI @shanthchandra @dunlop9 @UNFCCC @ErikSolheim 7 months for CPCB to reply.  Since they are only fastracking Environmental Clearances for polluting industries and mining, shows they care a damn about Environment protection.  @CitizensForHyd @AdityaDubey2003  @yamunajiye  @BhavreenMK",b'urban_lens',2020-11-21 04:52:58,environment
7,Thank U @vinay_vangala for addressing this issue that impacts all of us 🙏🙏 @CPCB_OFFICIAL @TelanganaPCB we request u to pls address all causes that lead to increases in air pollution with data specific to Hyd &amp; publish a paper in public domain with solutions asap. @KTRTRS https://t.co/hiCbeyjM2T,b'CitizensForHyd',2020-11-21 04:36:22,environment
8,"@KTRTRS Yes, We have witnessed the growth amd development in every aspect. Thank @KTRTRS for creating a great environment for investors and Job security for IT employees",b'SantoshGoud_S',2020-11-21 04:19:47,environment
9,"@KTRTRS @TSMAUDOnline @GHMCOnline @CommissionrGHMC We are residence of EWSH,HB COLONY,MOULA-ALI, HYDERABAD.We are getting our water in this state every alternate day which is mixed with drainage pollution and everyone are scared and are not able to use.Please help us with this🙏. https://t.co/RSrnoB4EIU",b'nageshkuchana',2020-11-21 04:15:07,environment
10,"@KonathamDileep pls look into this email address with ""ap""  @CPCB_OFFICIAL @moefcc @DrGargava @PrakashJavdekar pls stop spreading this when ur team cannot track/action, it's a pollution to our mobile space 🤷 @Rakhs2009 @Srikanth_sevan @asinha @rjsaulakh @jvidyasagar @GHMCOnline https://t.co/eSIuiCzgUu",b'vinay_vangala',2020-11-21 04:14:59,environment
11,"@knaveenkumar135 @greensainikpuri @NewBolarum @GreenYapral @KCR @KTRTRS We R from Dhammaiguda &amp;Jawaharnagar, Kindly Our fellow Hyderabadis this TRS has been killing 5 lakh ppl silently with the pollution. We R all one not Pakistanis or not Jihadis but struggling to live at Dhammaiguda.  Pls don't vote TRS Unless they shift DumpingYard",b'RAVINDH03146219',2020-11-21 03:49:35,environment
12,"@KTRTRS  Respected KTR sir, Kindly check the image which am sharing near my house which is located in Manikonda near golden temple.  This is a road side place, if you developed like this it is not reflecting as a good, can you please made it as a walk way as well with trees are https://t.co/xrOyiCsQ8D",b'_SaiPhaneendra',2020-11-21 03:43:14,environment
13,"@Balu64170968 @subbu246890 @stan_socialism @krishanKTRS @KTRTRS @KTRTRS @KCR lf no funds r der, howCome your so called leaders when they visit our area say we will make roads,culverts pollution free environment greenJawaharnagar etc. stop cheating people of Dhammaiguda &amp;Jawaharnagar.we will not be fooled all the time.#fightagainstdampingyard",b'RAVINDH03146219',2020-11-21 03:42:43,environment
14,@krishanKTRS @KTRTRS @trspartyonline @trsinnews Have you seen roads and pollution in Jeedimetla area? First see that and talk.,b'kiran_nadella',2020-11-21 03:14:00,environment
15,@KTRTRS Roads and pollution in jeedimetla is a serious issue and never ever been taken care even after many complaints to @TelanganaPCB,b'kiran_nadella',2020-11-21 03:12:43,environment
16,"@KTRTRS @kcrunofficial Pls remove the DUMPING YARD FROM JAWAHARNAGAR. Where are 4r5 other dumping yards,why this area ppl alone bear the garbage of entire city. U r Making public as fools as powerplant will reduce pollution.Who willclean lakes near by who is making air clean? https://t.co/rqpoOnpUpb",b'RAVINDH03146219',2020-11-21 02:54:19,environment
17,"#Telangana, with 100% electrification takes top position in 6 years.  The Research by Council in Energy Environment &amp; Water (CEEW), South Asia’s leading research Institute reports TS has achieved 100% electrification while pan India is at 97%.  @KTRTRS https://t.co/SVsFeH1DIw",b'PuttaVishnuVR',2020-11-21 02:43:58,environment
18,"@GHMCOnline @CommissionrGHMC @KTRoffice  there is construction happening at 2 am by sahiti builders I live in janapriya nile valley, we not able to sleep  becoz of  noise  pollution, I called up 100 to police officers came  but of no use they are using jcb machine  do the needful https://t.co/h6JlcrDo8J",b'vasanthaonjob',2020-11-21 00:16:50,environment
19,"@MPsantoshtrs #Removeameenpurdumpyard Respected @MPsantoshtrs , @TrsHarishNews @KTRoffice @KTRTRS @HarishRaoOffice if the TRS govt looking for sustainable development &amp;protecting environment, pls removeAmeenpurDumpyard.Single promise has not fulfilled on removeAmeenpurDumpyard.pls remove DY",b'bairyrajesh',2020-11-20 19:17:26,environment
20,"@KTRTRS Meru meru em anna cheskori, Kindavi chesthe chalu  1.Drainage system 2.Roads 3.Clean City 4.LRS, VAT, STATE ROAD TAX thaginchandi 5.Well maintained RTC Buses we needed 6.Well maintained government schools 7.Well maintained government hospitals 8. HYD lo air pollution thaginchandi",b'SanthoshGovindu',2020-11-20 17:00:35,environment
21,The Municipal Corporation of Delhi #MCD is ruled by #BJP since ~12 years. This👇is the sad state of affairs. The Drone shots of Delhi with a time lapse of 6 months reveal a scary picture. Can BJP tell what measures were taken to curb the air pollution in Delhi? Nothing🤔 @KTRTRS https://t.co/rmzznDloy7,b'PuttaVishnuVR',2020-11-20 16:48:22,environment
22,@GHMCOnline Hi Team could you please assist in cleaning the branches of trimmed tree by #ghmc @ Gemini colony Near Saibaba temple @MutaJaisimha @MutaGopal https://t.co/LijwqADEUL,b'SatishTiramdas',2020-11-20 16:01:32,environment
23,@ktrtrs @TSMAUDOnline @GHMCOnline I have given a complaint regarding trees to UBD with complaint numbers ( 0511201063868 &amp; 041020999180) at Santoshnagar Colony and Dilshadnagar Colony Mehdipatnam. Till now no action from officials. Please look into this.,b'umhumanwelfare',2020-11-20 15:50:24,environment
24,"@KTRTRS Sir, also in Gagan pahad behind railway tracks, there are still factories exists despite there is clear government order for all factories to move out Jardchella industrial city. Because of them there is pollution and no development in that area despite its in city limits",b'shaik20_riyaz',2020-11-20 09:38:02,environment
25,@KTRTRS Another big tree is cut as while I am tweeting here https://t.co/DGm4lnDrod,b'pramoddash',2020-11-20 07:01:49,environment
26,"@KTRTRS Hi Mr KTR, there is ongoing tree cutting in Bowrampet, Hyderabad-500043 area, sharing a video from there. How can we stop these? https://t.co/b5yL5jksIF",b'pramoddash',2020-11-20 06:42:55,environment
27,Telangana Govt Already Shown what best could be done to City of Hyderabad as Environment Friendly. Let's continue the Efforts. #HamaraHyderabad.  #HyderabadWithTRS #HyderabadWithKCR #VoteForCar @trspartyonline @KTRTRS @MPsantoshtrs https://t.co/7zrMsaxvIb,b'PurushPatel',2020-11-20 06:38:25,environment
28,"@bhupendra_sai @SAHE_Hyd @rainwater_info @MoJSDoWRRDGR @KTRTRS @arvindkumar_ias @ZC_SLP Prathi oka lake Community,  mundhu vasthe, we can rejuvenate most of our Waterbodies They need to tie up with Ngos and Govt with progressive thinking.  They will be the beneficiaries of the clean environment with better health",b'kalpana_designs',2020-11-20 05:35:29,environment
29,"@TusharLokare3 @KTRTRS @chmallareddyMLA @D_SudheerReddy @revanth_anumula @RaoMlc @Collector_MDL @CollectorRRD @Irrigatn_Medchl @DistrictIrriga1 @madhulikaS2 @bhavinbhalodi @LbNagarSai1 @Venkat1575 @MaheshD63981088 @VenkatBogi @Vijayashekar6 @SainiNaveenKum2 @ActivistTeja @vinay_vangala @SrinivasBellam @Rakhs2009 No,they dont have!If they had responsibility we would not have been like this.Also its time to blame the common ppl who dont care about environment &amp; dumping waste in water bodies Every politician is a failed LEADER who is here to buy votes.Most ppl r either sold out or dont vote https://t.co/8RGhy2RdEI",b'shanthchandra',2020-11-20 05:02:34,environment
30,@ShivaNethi @rajreddy75 @Collector_SRD @KTRTRS Why are trying to portray your own community encroachment as impeachment by officials Why you are calling bushes as trees,b'rockg528',2020-11-20 03:22:41,environment
31,"@madhulikaS2 @KTRTRS @arvindkumar_ias @ManikondaMc @cdmatelangana @HarithaHaram @HMDA_Gov @CommissionrGHMC @ZC_Khairatabad dhruvansh is maintaining from 4 yrs &amp; not single plant is dead. Dec to June is harsh months. Pl provide solution ,where to keep equipments???",b'neeraj1213791',2020-11-20 03:18:12,environment
32,Yes please this is the least that can be done for the pro-active citizens who are fulfilling their constitutional duty to protect the environment under article 51-a(g). They are torch bearers of a democratic style of participation &amp; entitled to this @KTRTRS @IKReddyAllola https://t.co/RqQ0yjrtSi https://t.co/XIl5RMG9c6,b'CitizensForHyd',2020-11-20 03:15:20,environment
33,@rajreddy75 Why would one need to uproot trees to identify buffer zone @Collector_SRD @KTRTRS,b'ShivaNethi',2020-11-20 02:53:33,environment
34,@KTRTRS  Lot of compaining  by showing Jawahar Nagar dumping yard stating that power plant is installed it is nothing but adding carbon dioxide to toxic gases Where is additional landfill sites Where is licheat treatment Where is herbal parks Where is lakes cleaning Please 🙏🙏 https://t.co/oN2zn5O3Zg,b'subbu246890',2020-11-20 02:13:15,environment
35,@ManthriTrs @trspartyonline @KTRTRS @PiyushGoyal u were the guy who made #india power surplus now #ktr says he has power plant in #hyderabad #ghmc which offer 24/7 power may be #trs thought #hyderabad is some remote village and after 2014 witnessed power for first time isn't @BJP4India @BJP4Telangana,b'eccentricraj',2020-11-19 20:32:52,environment
36,"@GHMCOnline @SEElectricGHMC @ZC_Charminar  Street light not glowing since 3 months,and other objecting light due to tree branches needs to be trimmed in bank colony Azampura ,near lorry kanta.Kindly do the needful at the eraliest.Thanks https://t.co/cw3Vj8TZnG",b'proudhyd8687',2020-11-19 17:18:33,environment
37,"@trspartyonline @KTRTRS ....entering into the colony. If you agree with me , I will give you more suggestions to reduce pollution in Hyderabad. Make this an election promise.",b'jcher17',2020-11-19 15:32:20,environment
38,"@trspartyonline @KTRTRS Hello KTR ,    I have a suggestion for hyderabad city. Please make only one or two entries and exits  for all vehicular traffic in Hyderabad colonies. Widen these roads and that way we can minimize the sound pollution and air pollution and also restrict outside traffic entering..",b'jcher17',2020-11-19 15:32:06,environment
39,"@ramprasad_g82 @KTRTRS @Director_EVDM @GHMCOnline @CommissionrGHMC @KTRTRS @Collector_SRD same Nala created havoc in recent rain due to encroachment &amp; narrowing, a person died, still local politicians busy laying illegal road uprooting big trees and encroaching it even protested #hyderabadflood #naala",b'MayukhaPal',2020-11-19 13:19:36,environment
40,"@Director_EVDM @GHMCOnline @CommissionrGHMC @KTRTRS @Collector_SRD same Nala created havoc in recent rain due to encroachment &amp; narrowing, a person died, still local politicians busy laying illegal road uprooting big trees and encroaching it even protested #hyderabadflood #naala https://t.co/ZPpSrJy97G",b'MayukhaPal',2020-11-19 13:19:12,environment
41,"@Director_EVDM @GHMCOnline @CommissionrGHMC @KTRTRS @Collector_SRD same Nala created havoc in recent rain due to encroachment &amp; narrowing, a person died, still local politicians busy laying illegal road uprooting big trees and encroaching it even protested #hyderabadflood #naala https://t.co/SZN4SdXqws https://t.co/XVJvbAcz19",b'CwTown2',2020-11-19 13:17:08,environment
42,@DineshR17766806 @KTRTRS @KTRoffice @TelanganaCMO @airqualityindia @CommissionrGHMC @GHMCOnline @swachhhyd Please retweet and help us to solve from this pollution @ActivistTeja @VijayGopal_ @SrinivasBellam @CoreenaSuares2 @sravandasoju @KVishReddy @ThoutiAshish @GMRMLAPTC @Collector_SRD @jc_srd @MC_Sangareddy @PatancheruPs @CPCB_OFFICIAL,b'KotrikeSagar',2020-11-19 12:37:36,environment
43,"@sridhar_swiss @KTRTRS In every street of corner in hyd you will find a mineral water plant that sells water tin for 20-30/-.  People are buying these not because of they are rich. They have no other option, they can't drink muncipal water and left with only option buy them.",b'sainath205',2020-11-19 12:18:52,environment
44,"@ramprasad_g82 @KTRTRS People are on a path to destroy anything and everything. Even after the recent flood in Hyderabad people are not willing to learn a lesson. Dear @KTRTRS  sir,  @GHMCOnline , @CommissionrGHMC   need your immediate intervention. save environment, Save Hyderabad. 🙏🙏🙏",b'Niranjan_hyd',2020-11-19 11:19:47,environment
45,"Attractive incentives coupled with business environment created in the state have brought us great remarkable growth, success in bringing investments and creating employment potential.  #voteforcar #votefordevelopment  @KTRTRS @trspartyonline @YadavTalasani https://t.co/dkMQR9PHVU",b'talasani_sai',2020-11-19 10:43:05,environment
46,"Dear @KTRTRS sir Sole reason for flooded Hyderabad is your development, which made the city to float on water and also made the people to swim. You have created a air pollution free environment in hyd with your development. Hyd people are not dumbs... I feel",b'LakshmiAbilash',2020-11-19 09:47:05,environment
47,@greensainikpuri @KTRTRS @bandisanjay_bjp @revanth_anumula Please add dumpyard removal from jawaharnagar. Relocate it to other place. It's only 4km from sainikpuri. The smell is so horrible. Air and ground water pollution at its peak.,b'biswajith_1991',2020-11-19 09:46:56,environment
48,@KTRTRS We have fought hard against this  nala encroachment in beeramguda and with the help of Collector garu and irrigation department we were able to stop . It has started again and this time with force with big JCB uprooting big trees to lay an illegal road. Please help. https://t.co/3Gkmu86WVN,b'ramprasad_g82',2020-11-19 09:19:29,environment
49,@RaoKavitha @KTRTRS @greensainikpuri @GreenSaketKapra @mc_dammaiguda no actions yet @MinisterKTR also promises in last assembly elections that dumping yard issued will be resolved no actions yet and @TelanganaCMO added CO2 along Toxis gasses in Air by opening power https://t.co/SmvC2aEh2V justified and what basic we people keep trusting you 2/3,b'subbu246890',2020-11-19 08:26:37,environment
50,@RaoKavitha @KTRTRS Dear Madam it will be Great full to you if you could speak on your promise made many years back on the issue of Jawahar Nagar all eastran colonies @greensainikpuri  @GreenSaketKapra @mc_dammaiguda  and Kapra are struggling  with the air and water Pollution 4m Many years 1/2 https://t.co/5o9LMbkLXn,b'subbu246890',2020-11-19 08:23:12,environment
51,"Dear @KTRTRS, I just read about this technology where bio panels made from paddy stubble have been used to develop hospitals and govt buildings. Can we adapt this tech for new govt buildings/offices in our state?  How to make buildings from stubble https://t.co/tXTxhoV99C",b'reenareddy',2020-11-19 06:51:10,environment
52,"Feasible environment, Progressive Policies, Economic Stability, Talent Pool have attracted these investments: @KTRTRS",b'TheSiasatDaily',2020-11-19 06:45:53,environment
53,"We were a power deficit state at the time of bifurcation. A 450MW hydel electricity plant was lost to AP, because of the haphazard bifurcation by the center. We are a power surplus state today: @KTRTRS",b'TheSiasatDaily',2020-11-19 06:07:07,environment
54,I feel a great regard for trees; they represent age and beauty and the miracles of life and growth 🌱  @MPsantoshtrs @zckukatpally @ActivistTeja @RaoKavitha @HiHyderabad @KTRTRS @BTR_KTR @RajuShambipur https://t.co/6DlbhrqeMG,b'Shiva__9951',2020-11-19 06:05:51,environment
55,"@KTRTRS sir, libraries are most essential in online education environment and for people preparing for jobs. Present chairman Dr Sridhar failed to improve. Please announce TRS policy to fetch votes",b'naglaxman',2020-11-19 05:36:35,environment
56,"@GHMCOnline Complaint regarding a tree coming to our Terrace from behind from a Government ITI land under Kalapathar PS Limits, hundreds of blanket worms falling to our building &amp; we are facing health issues. Made a complaint but nobody responding. @KTRTRS @CommissionrGHMC Help ! https://t.co/t2nPI77Jnk",b'Marksunlimited',2020-11-18 18:10:28,environment
57,"@ghmcnccshpalli @ee_serilingmply Few more pictures frm this loc Gulmohar Junction, nearby @DC_Serilingmply Office @arvindkumar_ias @KTRTRS 3rd party maintenance is not upto d expectations, @GHMCOnline staff used to address ASAP. Initially plant didn't start later labor on hdays https://t.co/jYwjeaAtGZ",b'vinay_vangala',2020-11-18 17:37:49,environment
58,@akshaykumar @CNNnews18 @harpic_india Well Akshay!! 🙏.you once time visit telangana state kaleshwaram project near karimnagar district. How to save water &amp; farming crops here.our beloved cm kcr introduce mission bhageeratha &amp; mission kakatiya for save telangana.Harithaharam for grow trees. 🙏🙏@KTRTRS @TelanganaCMO,b'Malleshdatrika1',2020-11-18 16:02:35,environment
59,"@trspartyonline @KTRTRS @KTR_News.we need pollution free environment. We need Dumpyard free ameenpure. We need Dumpyard should be removed from ameenpure permanently. We need survival, unless Dumpyard removal, it will be very difficult to survive.we don't want any other from TRS https://t.co/SHHZLo875T",b'bairyrajesh',2020-11-18 14:52:27,environment
60,"@KTRTRS @arvindkumar_ias @md_hmrl @hmrgov @ltmhyd   It's a nice idea with many benefits .....🤔 #bicycle #metro  #LastMile #Health #Pollution etc., https://t.co/CTYxjHGgPj",b'amksocialwork',2020-11-18 12:25:22,environment
61,"#ChangeHyderabad The air pollution in the city is on the rise, before it is catastrophic please do something about it @KTRTRS .",b'AbhishekJagini',2020-11-18 09:09:56,environment
62,We are putting similar yet strategic effort to #SaveKapra   - Conservation - Rejuvination - Pollution  And a strategic lake front blue print which also caters @tstourism &amp; #LookEast decentralized development in #Hyderabad  We wish to join hands 🙌  @KTRTRS  #VoiceLoud  #YouthCan https://t.co/AulXIOgwEI https://t.co/LY8c23mOS1,b'AkhileshSingi',2020-11-18 09:05:33,environment
63,We love our trees but huge dead branches falling after every rain or wind is not only a danger to residents but also to property. The trees now have roots so strong that they wrap around drain pipes too. Any sustainable suggestions - 5yr thing. @GHMCOnline #Hyderabad https://t.co/QQqyGvSuFU,b'arvindia4u',2020-11-18 08:28:02,environment
64,@KTRTRS It goes n goes on coz of helpless @Dc21Ghmc team! @arvindkumar_ias @Director_EVDM didn't expect this under ur leaderships! Have been informing ACP Chandanagar from 3days! @CCP_GHMC  I don't care abt d environment nw bt my ofc calls getting disturbed @cyberabadpolice https://t.co/y4a4pzFKHf,b'vinay_vangala',2020-11-18 07:03:57,environment
65,"@VijayGopal_ Ban flexis, plastic pollution @GHMCOnline",b'vijaygoud43',2020-11-18 06:16:10,environment
66,Mahindra's Zaheerabad Plant to be Hub for K2 Tractors.  The New Series of Tractors will bring Incremental Investments of Rs 100 Cr into the Facility and Double Employment by 2024. #HappeningHyderabad #TrailblazerTelangana  @KTRTRS https://t.co/1uBpBIJoZV,b'Ahmed_Trs_KTR',2020-11-18 05:16:18,environment
67,KTR welcomes Mahindra’s repeat investment in #Telangana; #Zaheerabad tractor plant to be hub for new K2 series https://t.co/LctwVgRCrZ @KTRTRS @MinisterKTR,b'ET_Government',2020-11-18 05:09:06,environment
68,Does anyone did in past? Still you want to complaint?  Lets create healthy environment to investors who r willing to setup their org's in Hyd by showing some gratitude towards current Govt #HyderabadFloods @KTRTRS @krishanKTRS @trspartyonline #HyderabadWithTRS #GHMCElections2020 https://t.co/QQYjH0FLgF,b'SantoshGoud_S',2020-11-18 04:18:34,environment
69,@umasudhir @GHMCOnline @ndtv @ndtvindia It's stupid to remove. It's important to register all flex printers/poster makers etc and give them strict instructions. They must be punished first. In fact banning flex is important. It's highly hazardous to environment.,b'ShivaKap',2020-11-18 02:39:36,environment
